BHID,FROM,TO,HOLE_TYP,DEPTH,VEIN,RE,RE_OLD,DRE,DDDRE,MINE,YEAR,PV,PV_OLD,PL,PL_OLD,EQ,EQ_OLD,ZN,PB,AG,EQ_DDH
10336183780,2.607142857142857,4.392857142857143,1,7.0,vpri,1.0,1.0,1.0,0,Animon,20_21,5.131403190336685,5.131403190336685,129.594416660097,125.9804859302318,25.25516157142857,24.55088428199809,20.08275714285714,3.545271428571428,2.3738,25.25516157142857
10336177542,2.0,4.0,1,8.0,vpri,1.0,1.0,1.0,0,Animon,20_21,5.763137216689391,5.763137216689391,77.62660747692958,139.67459767144058,13.469505333333332,24.235861896010174,12.689966666666665,0.18823333333333334,0.7651666666666666,13.469505333333332
10336193631,1.3333333333333337,2.266666666666667,1,3.600000000000001,vpri,1.0,1.0,1.0,0,Animon,20_21,4.238531119719165,4.238531119719165,73.81062909596142,104.62070634553335,17.414200111111118,24.68324600916585,15.451111111111116,0.7021000000000001,1.6584,17.414200111111118
10336183422,2.0,4.0,1,8.0,vpri,1.0,1.0,1.0,0,Animon,20_21,5.179286044430581,5.179286044430581,78.2787987304645,115.47986744230131,15.113820333333335,22.29648381102252,9.815033333333334,4.4422000000000015,1.4779,15.113820333333335
10336178160,2.6309859154929582,4.469014084507043,1,8.1,vpri,1.0,1.0,1.0,0,Animon,20_21,5.782137362475468,5.782137362475468,112.67519563134441,122.23150312909935,19.48677254929577,21.139501790868767,18.48363521126761,0.3052929577464789,0.9103985915492958,19.48677254929577
10336183389,2.0,4.0,1,8.6,vpri,1.0,1.0,1.0,0,Animon,20_21,4.982648611097729,4.982648611097729,66.33561699857694,106.80509506269564,13.313324333333336,21.43540582508895,12.4917,0.21516666666666664,0.7867333333333333,13.313324333333336
10336192989,1.4844444444444445,3.015555555555556,1,4.5,vpri,1.0,1.0,1.0,0,Animon,20_21,4.640733704387163,4.640733704387163,59.43906282981959,97.61279882744805,12.808117555555556,21.033915118889247,12.183333333333335,0.13951333333333332,0.6266288888888889,12.808117555555556
10336178078,2.2557377049180327,3.844262295081968,1,6.1,vpri,1.0,1.0,1.0,0,Animon,20_21,4.482948562334996,4.482948562334996,44.662713910572386,71.35739838299885,9.962798655737707,15.917514419534518,8.376988524590166,0.4182032786885245,1.5150393442622951,9.962798655737707
10336194042,1.369047619047619,2.8309523809523816,1,4.2,vpri,1.0,1.0,1.0,0,Animon,20_21,3.849304758071114,3.849304758071114,44.622661689190345,84.53148388155927,11.592395119047616,21.96019520260536,9.413521428571428,0.993754761904762,1.5882047619047621,11.592395119047616
10336183834,4.0,6.0,1,6.0,vpri,1.0,1.0,1.0,0,Animon,20_21,3.4021162917014705,3.4021162917014705,113.67247573935637,52.67023622683335,33.412284,15.481609595564954,31.9316,0.28600000000000003,1.5376,33.412284
10336184711,2.25,3.75,1,4.5,vpri,1.0,1.0,1.0,0,Animon,20_21,3.1933284672682354,3.1933284672682354,32.37461065017999,39.444224557263496,10.138202499999998,12.352072441519446,9.2418,0.32975000000000004,0.7465,10.138202499999998
10336178166,1.2761904761904763,2.923809523809524,1,4.2,vpri,1.0,1.0,1.0,0,Animon,20_21,3.686452561351477,3.686452561351477,23.89005635047433,38.09890663569989,6.480500142857144,10.334842508249336,6.077714285714286,0.14114285714285713,0.3437,6.480500142857144
10336184779,2.0,2.5,1,4.2,vpri,1.0,1.0,1.0,0,Animon,20_21,2.303589,2.303589,30.255109870689004,27.988613260767004,13.133901000000002,12.150002999999998,9.2454,2.5836,1.8807,13.133901000000002
10336176955,0.0,1.3,1,1.3,vpri,1.0,1.0,1.0,0,Animon,20_21,3.1685085576514465,3.1685085576514465,103.80495052861276,47.96263412117376,32.761455,15.137290383941554,24.959,4.9004,4.1077,32.761455
10336185015,0.7,2.1,1,3.9,vpri,1.0,1.0,1.0,0,Animon,20_21,1.7615440656462626,1.7615440656462626,12.209314765316217,30.01990353413403,6.931030000000001,17.041812418765993,5.2675,0.8674999999999999,1.0845,6.931030000000001
10336178566,0.0,2.0,1,5.0,vpri,1.0,1.0,1.0,0,Animon,20_21,2.3297000090217206,2.3297000090217206,19.98566700419413,39.93527460983604,8.578644,17.141809870450025,7.8297,0.1751,0.7419,8.578644
10336185088,1.55,2.85,1,5.0,vpri,1.0,1.0,1.0,0,Animon,20_21,1.7429400000000002,1.7429400000000002,10.74962340909,32.30473406868,6.1675235,18.534622,5.34725,0.1189,0.89835,6.1675235
10336176997,0.5238095238095238,1.5761904761904764,1,3.4,vpri,1.0,1.0,1.0,0,Animon,20_21,2.5539475875943203,2.5539475875943203,29.511868562520498,47.764960133539546,11.555393190476188,18.702404217516282,8.606914285714286,0.4889904761904762,3.1566047619047617,11.555393190476188
10336178598,0.0,2.0,1,2.0,vpri,1.0,1.0,1.0,0,Animon,20_21,1.8908540000000005,1.8908540000000005,44.09710531945602,34.812671825736004,23.321264000000003,18.411084,21.1834,0.2187,2.4487,23.321264000000003
10336185158,1.3,3.1,1,4.0,vpri,1.0,1.0,1.0,0,Animon,20_21,1.6132539731630446,1.6132539731630446,19.031105410291953,30.140577526691562,11.79672,18.683095177875867,10.4527,0.312,1.334,11.79672
10336178828,0.0,1.6000000000000003,1,1.6000000000000003,vpri,1.0,1.0,1.0,0,Animon,20_21,1.8887009999999997,1.8887009999999997,20.144227598051998,40.170213069999,10.665652,21.268699,7.4733,1.7287,2.0059,10.665652
DDHUCH21170,126.3,127.1,1,133.6,vpri,2.0,2.0,8.0,0,Animon,20_21,1.0094648925963636,1.0094648925963636,0.21448100572994938,9.739410462261167,0.21247,9.648092304836089,0.0414,0.02,0.193,0.21247
DDHUCH21179,120.9,121.9,1,131.5,vpri,2.0,2.0,8.0,0,Animon,20_21,0.6585709841330994,0.6585709841330994,4.146462360320598,10.280728645385109,6.296151,15.610661406405564,4.8053,0.9009,0.8266,6.296151
DDHUCH21171,122.55,123.8,1,138.8,vpri,2.0,2.0,8.0,0,Animon,20_21,0.8647836507808572,0.8647836507808572,0.22382157492779994,7.126311177452863,0.25881800000000005,8.240571119745564,0.0844,0.0236,0.193,0.25881800000000005
DDHUCH21163,125.43867924528305,126.01132075471695,1,140.9,vpri,2.0,2.0,8.0,0,Animon,20_21,3.649838047110209,3.649838047110209,19.79942637297816,34.087892260518714,5.424741075471699,9.339562967049485,3.1176301886792457,1.3998924528301886,1.2724188679245283,5.424741075471699
10336186209,0.8742857142857143,2.625714285714285,1,3.5,vpri,2.0,2.0,8.0,0,Animon,20_21,2.57362305470242,2.57362305470242,45.48969781910575,47.10152758851718,17.67535371428571,18.301641921669606,12.462628571428569,3.922288571428571,1.9810085714285717,17.67535371428571
10336184880,2.569230769230769,3.6307692307692303,1,4.4,vpri,2.0,2.0,8.0,0,Animon,20_21,2.57362305470242,2.57362305470242,60.21793671333169,47.10152758851718,23.398118307692307,18.301641921669606,14.564846153846151,4.990561538461538,5.306392307692309,23.398118307692307
10336188613,1.3142857142857145,2.3857142857142857,1,3.8,vpri,2.0,2.0,8.0,0,Animon,20_21,2.570608124863372,2.570608124863372,52.59654852424405,37.617692404097795,20.460741571428574,14.633771690151017,13.346228571428574,5.097828571428571,3.0044714285714287,20.460741571428574
10336198569,0.4,1.4,1,3.4000000000000004,vpri,2.0,2.0,8.0,0,Animon,20_21,2.3708501708972745,2.3708501708972745,62.21878766804803,91.74882664595717,26.243239000000006,38.69870301050436,14.3503,8.542833333333334,4.9976,26.243239000000006
10336183386,0.5,2.5,1,4.2,vpri,2.0,2.0,8.0,0,Animon,20_21,2.8581597134787065,2.8581597134787065,118.01822485233357,45.99670771514629,41.291683,16.093120163380597,4.7116,8.2984,36.5349,41.291683
10336196268,1.6958333333333333,2.9041666666666663,1,3.5,vpri,2.0,2.0,8.0,0,Animon,20_21,2.4053092063565296,2.4053092063565296,40.939672884157076,92.56767772089044,17.020544708333333,38.48473097606791,6.6334791666666675,8.764279166666666,2.8307416666666665,17.020544708333333
10336207077,1.5952380952380951,2.704761904761905,1,3.2,vpri,2.0,2.0,8.0,0,Animon,20_21,2.5439111181748206,2.5439111181748206,63.24267328024586,85.08048725982036,24.860409952380948,33.444756246382944,16.561876190476188,5.068423809523808,4.5378476190476205,24.860409952380948
10336186510,1.5,2.4,1,3.7,vpri,2.0,2.0,8.0,0,Animon,20_21,2.8581597134787065,2.8581597134787065,59.24084487033635,45.99670771514629,20.726919,16.093120163380597,10.3295,8.6211,3.0124,20.726919
10336198550,1.5285714285714287,2.4714285714285715,1,3.9,vpri,2.0,2.0,8.0,0,Animon,20_21,2.3708501708972745,2.3708501708972745,70.50118627252637,91.74882664595717,29.736668785714286,38.69870301050436,13.061685714285714,10.7609,8.439678571428573,29.736668785714286
10336204720,1.4448275862068962,2.455172413793103,1,3.3999999999999995,vpri,2.0,2.0,8.0,0,Animon,20_21,2.474771882036981,2.474771882036981,48.82352930910307,89.84766381122822,19.728496862068962,36.30543261921771,10.458275862068962,5.774851724137928,4.936213793103448,19.728496862068962
10336200652,1.115625,2.084375,1,3.2000000000000006,vpri,2.0,2.0,8.0,0,Animon,20_21,2.4146168453304715,2.4146168453304715,31.01878093051007,90.85616337544909,12.84625384375,37.627569587759695,6.621171875,4.134471875,3.0126875,12.84625384375
