MINE,VEIN,YEAR,index,TONNES,METAL,EQ,ZN,PB,CU,AG,FE,PV,ORDER,RE,RE_OLD,CUTOFF,MINED_A,BUFFER,TYPE,PHASE,CAT1,CAT2,CAT3,CAT4,Tonnes_Waterfall1,Tonnes_Waterfall2,Tonnes_Waterfall3,Tonnes_Waterfall4
Animon,vofe,21_22,20.0,19627.268475593773,30210.107881635537,1.5391906377192206,0.8178948311104531,0.16937702905231436,0.025469987261716242,0.7136394546390019,0.0,1.4427050367844658,3,4,2,0,all,9999,DRE,After Drilling,,2,,4,,,,3262.223152750019
Animon,vofe,21_22,20.0,16365.045322843755,22548.96119787437,1.3778734340807823,0.6405361326893368,0.16464037592336372,0.020834802486685775,0.7395212021246454,0.0,1.5887754955488285,3,4,2,0,in_situ,9999,DRE,After Drilling,,2,,4,,,,-3262.223152750019
Animon,vofe,21_22,20.0,19627.268475593773,30210.107881635537,1.5391906377192206,0.8178948311104531,0.16937702905231436,0.025469987261716242,0.7136394546390019,0.0,1.4427050367844658,3,4,2,0,all,100,DRE,After Drilling,,2,,4,,,,3262.223152750019
Animon,vofe,21_22,20.0,16365.045322843755,22548.96119787437,1.3778734340807823,0.6405361326893368,0.16464037592336372,0.020834802486685775,0.7395212021246454,0.0,1.5887754955488285,3,4,2,0,in_situ,100,DRE,After Drilling,,2,,4,,,,-5649.85188457492
Animon,vofe,21_22,20.0,22014.897207418675,53014.544375528916,2.408121367819235,1.206062611054751,0.23769167883996192,0.03261960255711373,0.9643670779245221,0.0,0.0,3,4,2,0,all,9999,DRE,Before Drilling,,2,,4,,,,
Animon,vofe,21_22,20.0,18204.2622568373,36143.984316747956,1.9854682275395539,0.8313026817626121,0.19626062526248853,0.022916081442575297,0.9579049205144531,0.0,0.0,3,4,2,0,in_situ,9999,DRE,Before Drilling,,2,,4,,,,
Animon,vofe,21_22,20.0,22014.897207418675,53014.544375528916,2.408121367819235,1.206062611054751,0.23769167883996192,0.03261960255711373,0.9643670779245221,0.0,0.0,3,4,2,0,all,100,DRE,Before Drilling,,2,,4,,,,
Animon,vofe,21_22,20.0,18204.2622568373,36143.984316747956,1.9854682275395539,0.8313026817626121,0.19626062526248853,0.022916081442575297,0.9579049205144531,0.0,0.0,3,4,2,0,in_situ,100,DRE,Before Drilling,,2,,4,,,,
Animon,vofe,21_22,4.0,691760.4610451637,2140179.4893772816,3.0938158653123042,1.1844451334206987,0.29601983141597327,0.071814615020675,1.6133509004756457,0.0,0.0,4,4,3,0,all,9999,RE,Before Drilling,,,3,4,,,,691760.4610451637
Animon,vofe,21_22,4.0,618976.7205875943,1850493.5021965492,2.98960112819732,1.063971370059332,0.27702812270758975,0.06529057374089783,1.6486016354304158,0.0,0.0,4,4,3,0,in_situ,9999,RE,Before Drilling,,,3,4,,,,618976.7205875943
Animon,vofe,21_22,4.0,691760.4610451637,2140179.4893772816,3.0938158653123042,1.1844451334206987,0.29601983141597327,0.071814615020675,1.6133509004756457,0.0,0.0,4,4,3,0,all,100,RE,Before Drilling,,,3,4,,,,691760.4610451637
Animon,vofe,21_22,4.0,618976.7205875943,1850493.5021965492,2.98960112819732,1.063971370059332,0.27702812270758975,0.06529057374089783,1.6486016354304158,0.0,0.0,4,4,3,0,in_situ,100,RE,Before Drilling,,,3,4,,,,618976.7205875943
Animon,vofe,21_22,21.0,408825.1439727195,1732688.4240900162,4.238213939712174,1.8296958505961372,0.5808437169101435,0.06587935325344761,2.3649790184152266,0.020865005222628283,1.3681524528519642,4,4,3,0,all,9999,DRE,After Drilling,,,3,4,,,,
Animon,vofe,21_22,21.0,377931.4740186884,1600821.9366154182,4.235746548423905,1.7503318699891894,0.5882854052557928,0.06292474526191093,2.4535560050113605,0.008716185142091095,1.4373541512718557,4,4,3,0,in_situ,9999,DRE,After Drilling,,,3,4,,,,
Animon,vofe,21_22,21.0,408825.1439727195,1732688.4240900162,4.238213939712174,1.8296958505961372,0.5808437169101435,0.06587935325344761,2.3649790184152266,0.020865005222628283,1.3681524528519642,4,4,3,0,all,100,DRE,After Drilling,,,3,4,,,,
Animon,vofe,21_22,21.0,377931.4740186884,1600821.9366154182,4.235746548423905,1.7503318699891894,0.5882854052557928,0.06292474526191093,2.4535560050113605,0.008716185142091095,1.4373541512718557,4,4,3,0,in_situ,100,DRE,After Drilling,,,3,4,,,,
Animon,vofe,21_22,21.0,365910.134290575,1070142.3426676746,2.924604274058881,1.42390193815367,0.28651130746366643,0.06305529257577148,1.2141910284415347,0.0,0.0,4,4,3,0,all,9999,DRE,Before Drilling,,,3,4,,,-365910.134290575,-365910.134290575
Animon,vofe,21_22,21.0,337914.36489350046,912601.322944333,2.7006881558052585,1.2627151902651426,0.26281988671228795,0.05669652769858541,1.175153078827818,0.0,0.0,4,4,3,0,in_situ,9999,DRE,Before Drilling,,,3,4,,,-337914.36489350046,-337914.36489350046
Animon,vofe,21_22,21.0,365910.134290575,1070142.3426676746,2.924604274058881,1.42390193815367,0.28651130746366643,0.06305529257577148,1.2141910284415347,0.0,0.0,4,4,3,0,all,100,DRE,Before Drilling,,,3,4,,,-365910.134290575,-365910.134290575
Animon,vofe,21_22,21.0,337914.36489350046,912601.322944333,2.7006881558052585,1.2627151902651426,0.26281988671228795,0.05669652769858541,1.175153078827818,0.0,0.0,4,4,3,0,in_situ,100,DRE,Before Drilling,,,3,4,,,-337914.36489350046,-337914.36489350046
Animon,vofe,21_22,3.0,325.75279090559997,79.1579281900608,0.24300000000000002,0.030000000000000002,0.020000000000000004,0.01,0.19300000000000003,0.0,0.0,5,3,4,0,in_situ,9999,DDDRE,Before Drilling,,,3,4,,,,
Animon,vofe,21_22,3.0,325.75279090559997,79.1579281900608,0.24300000000000002,0.030000000000000002,0.020000000000000004,0.01,0.19300000000000003,0.0,0.0,5,3,4,0,in_situ,100,DDDRE,Before Drilling,,,3,4,,,,
Animon,vofe,21_22,8.0,326789.0620321246,1581613.3399744807,4.839860092437862,1.2146197195939006,0.5768340813749111,0.09275624483699173,3.909854024502028,3.3632947417505783e-06,1.2158642605499497,5,4,4,0,all,9999,DDDRE,After Drilling,,,,4,,41649.65500190662,,
Animon,vofe,21_22,8.0,285139.407030218,1448620.32271709,5.080393263788932,1.1030257894209035,0.5986708948046597,0.08447554050299907,4.3298779050743335,3.8545634412355e-06,1.2975098450309293,5,4,4,0,in_situ,9999,DDDRE,After Drilling,,,,4,,-41649.65500190662,,
Animon,vofe,21_22,8.0,326789.0620321246,1581613.3399744807,4.839860092437862,1.2146197195939006,0.5768340813749111,0.09275624483699173,3.909854024502028,3.3632947417505783e-06,1.2158642605499497,5,4,4,0,all,100,DDDRE,After Drilling,,,,4,,41649.65500190662,,
Animon,vofe,21_22,8.0,285139.407030218,1448620.32271709,5.080393263788932,1.1030257894209035,0.5986708948046597,0.08447554050299907,4.3298779050743335,3.8545634412355e-06,1.2975098450309293,5,4,4,0,in_situ,100,DDDRE,After Drilling,,,,4,,-18696.022516953526,,
Animon,vofe,21_22,8.0,303835.4295471715,1017022.6023340792,3.3472811378509197,0.8945000856823968,0.31169724456904396,0.08520343879478424,2.1410838075994696,0.0,0.0,5,4,4,0,all,9999,DDDRE,Before Drilling,,,,4,,,,
Animon,vofe,21_22,8.0,262858.0934372563,901748.1949354685,3.430551379049373,0.8245919043641821,0.30088692677147955,0.0792732057115962,2.3050725479137095,0.0,0.0,5,4,4,0,in_situ,9999,DDDRE,Before Drilling,,,,4,,,,
Animon,vofe,21_22,8.0,303835.4295471715,1017022.6023340792,3.3472811378509197,0.8945000856823968,0.31169724456904396,0.08520343879478424,2.1410838075994696,0.0,0.0,5,4,4,0,all,100,DDDRE,Before Drilling,,,,4,,,,
Animon,vofe,21_22,8.0,262858.0934372563,901748.1949354685,3.430551379049373,0.8245919043641821,0.30088692677147955,0.0792732057115962,2.3050725479137095,0.0,0.0,5,4,4,0,in_situ,100,DDDRE,Before Drilling,,,,4,,,,
