BHID,FROM,TO,HOLE_TYP,DEPTH,VEIN,RE,RE_OLD,DRE,DDDRE,MINE,YEAR,PV,PV_OLD,PL,PL_OLD,EQ,EQ_OLD,ZN,PB,AG,EQ_DDH
DDH-U-SC-19-070,146.5,147.0,1,160.70000000000005,vrp722,1.0,1.0,1.0,5,San Cristobal,21_22,1.2925249999999997,1.2337699999999998,29.134497973208322,32.645252350492484,22.540761666666665,26.459755343777598,20.200966666666666,0.19900000000000004,2.7275000000000005,22.540761666666665
DDH-U-SC-18-103,174.48717948717945,175.2628205128205,1,213.4,vrp722,1.0,1.0,1.0,5,San Cristobal,21_22,0.704386062031803,0.5651689424821769,36.02110709252835,31.427757338667888,51.138301897435895,55.607721826750925,31.24395384615384,8.5586,15.107405128205125,51.138301897435895
DDHUSC21177,65.8,66.4,1,115.0,vrp722,1.0,2.0,2.0,1,San Cristobal,21_22,0.4686707593870246,0.6598791334533199,0.106214385529122,13.612266644028855,0.226629,20.628424136996586,0.0381,0.02,0.2151,0.226629
DDHUSC21174,80.94411764705879,81.40588235294116,1,100.0,vrp722,1.0,1.0,1.0,5,San Cristobal,21_22,0.5897138380553204,0.574563487894224,24.784747803410855,26.483951206487994,42.02843176470589,46.094037934000504,28.117052941176468,4.461835294117647,12.3568,42.02843176470589
DDHUSC20056,123.92236842105262,124.47763157894735,1,140.7,vrp722,1.0,1.0,1.0,5,San Cristobal,21_22,1.3088460944194986,1.3327140230430106,36.92263343301351,51.178951605003704,28.21006502631579,38.402050792671815,24.143707894736853,0.13935263157894734,4.98323947368421,28.21006502631579
DDHUSC21168,85.1,85.4,1,108.2,vrp722,1.0,2.0,2.0,1,San Cristobal,21_22,0.4330754952490689,0.6093523185809026,7.015796605429706,19.607935360437967,16.199939,32.17832239664263,6.1166,5.4229,6.3798,16.199939
DDHUSC22033,72.75,73.05,1,116.4,vtan,2.0,3.0,9.0,2,San Cristobal,21_22,0.09531335136940557,0.25245847196413235,1.208180223103015,2.0966806743984927,12.675875999999999,8.305051750041391,11.82,0.1884,0.8616,12.675875999999999
DDHUSC22074,152.25,152.85,1,300.85,vtan,3.0,3.0,15.0,7,San Cristobal,21_22,0.1971157500434204,0.4514419607592317,1.3598802710485527,4.921807706993995,6.898892,10.90241522679136,4.3985,0.0872,3.0624,6.898892
DDHUSC22036,54.4,54.8,1,85.7,vtan,2.0,2.0,8.0,6,San Cristobal,21_22,0.3040739570026512,0.4961847213785987,4.768011309824953,9.41878499947608,15.680432999999999,18.98241641400595,13.0945,0.0758,3.1841,15.680432999999999
DDHUSC22039,72.8,73.1,1,119.9,vtan,2.0,2.0,8.0,6,San Cristobal,21_22,0.13098688216230295,0.14713274341282664,0.06954552028084232,1.2955375340493094,0.530935,8.805229237208446,0.2827,0.0842,0.2151,0.530935
DDHUSC22053,47.0,47.35,1,81.0,vtan,2.0,2.0,8.0,6,San Cristobal,21_22,0.33490951034466565,0.3211709999999999,11.975415291282436,1.3856237267861429,35.757166999999995,4.314286553848707,8.1739,15.1501,17.0806,35.757166999999995
DDHUSC22056,47.2,47.55,1,390.5,vtan,2.0,2.0,8.0,6,San Cristobal,21_22,0.3324542062987769,0.27538543234972035,0.2863102273729193,0.6334282016113285,0.861202,2.300151450302276,0.64,0.035,0.2388,0.861202
DDHUSC22047,65.7,66.00000000000001,1,85.3,vtan,2.0,2.0,8.0,6,San Cristobal,21_22,0.4514063606928294,0.24675164493881985,0.29036187510812117,0.28599785227782537,0.6432383333333335,1.1590514517086048,0.44243333333333335,0.0332,0.21510000000000004,0.6432383333333335
DDHUSC22041,137.6,138.1,1,174.4,vtan,2.0,2.0,8.0,6,San Cristobal,21_22,0.1344638837929432,0.1027481900724362,0.6384954323882525,0.8262671619512024,4.748453,8.041671209669916,3.8789,0.0553,1.0356,4.748453
10101242331,0.0,0.4000000000000001,1,3.3,vtshey,2.0,-99.0,11.0,2,San Cristobal,21_22,0.8030272343683246,0.0,3.6517880300252843,0.0,4.5475270000000005,0.0,1.8683,0.7388,2.5217,4.5475270000000005
10101242325,0.0,1.3,1,3.6000000000000005,vtshey,2.0,-99.0,11.0,2,San Cristobal,21_22,0.8030272343683246,0.0,2.3392673183762263,0.0,2.9130610000000003,0.0,0.03,0.02,3.6259,2.9130610000000003
10101235257,0.0,0.6,1,4.1,vtshey,2.0,-99.0,11.0,2,San Cristobal,21_22,1.076582033743851,0.0,1.899452439087491,0.0,1.764336,0.0,0.1828,0.02,1.9784,1.764336
10101242305,1.21,1.79,1,3.9,vtshey,2.0,-99.0,11.0,2,San Cristobal,21_22,0.8164896269742136,0.0,60.240194637066814,0.0,73.7794978,0.0,23.15309,18.30261,42.53795,73.7794978
10101241598,1.7222222222222223,2.1777777777777776,1,4.0,vtshey,1.0,1.0,1.0,5,San Cristobal,21_22,0.8576703354537837,1.8696370000000009,79.98276519340678,72.1619597854471,93.25583722222223,38.5967756229937,30.554922222222213,27.782244444444448,46.66256666666667,93.25583722222223
10101238285,0.4000000000000001,1.2,1,3.9,vtshey,1.0,1.0,1.0,5,San Cristobal,21_22,1.4117191623920973,1.688235,8.213859247874113,56.95839668281499,5.818338000000002,33.738429,0.092,0.0786,7.1560000000000015,5.818338000000002
10101241579,2.6916666666666664,3.1083333333333334,1,3.5,vtshey,1.0,1.0,1.0,5,San Cristobal,21_22,0.8576703354537837,1.8696370000000009,60.61196735544469,72.1619597854471,70.67047191666666,38.5967756229937,22.93895833333333,12.093841666666664,46.18258333333333,70.67047191666666
10101238601,1.1,2.1,1,3.5,vtshey,1.0,1.0,1.0,5,San Cristobal,21_22,1.6785759987374131,1.989073112787166,0.43295342877834225,51.768895548490065,0.257929,26.026642869828702,0.0694,0.02,0.2151,0.257929
10101238962,2.85,3.1499999999999995,1,3.3,vtshey,1.0,1.0,1.0,5,San Cristobal,21_22,0.8624703832740624,2.0673583366604067,43.193522866067134,59.6989685717027,50.081166499999995,28.876933192017354,27.607,6.916799999999999,20.30575,50.081166499999995
10101241574,2.7,3.2,1,3.4000000000000004,vtshey,1.0,1.0,1.0,5,San Cristobal,21_22,0.8624703832740624,2.0673583366604067,41.985174403792975,59.6989685717027,48.68013466666667,28.876933192017354,19.785,8.9984,25.98306666666667,48.68013466666667
10101238263,2.3423076923076924,3.0576923076923075,1,4.0,vtshey,1.0,1.0,1.0,5,San Cristobal,21_22,2.0024924135777766,2.225791999999998,69.74834251757247,82.13393772014993,34.83076492307692,36.900994216957386,6.073369230769233,12.725323076923075,21.421323076923077,34.83076492307692
10101238373,1.6742857142857142,2.4257142857142857,1,3.8,vtshey,1.0,1.0,1.0,5,San Cristobal,21_22,2.3954904901771568,2.4220930210399265,85.46794302239938,91.11162542966758,35.67868182857143,37.61689771541011,16.066097142857142,5.92332,17.85303428571429,35.67868182857143
10101241552,2.0222222222222226,2.4777777777777783,1,3.6,vtshey,1.0,1.0,1.0,5,San Cristobal,21_22,0.9004534675129822,2.4053715351778733,48.1162708083848,65.95575451132098,53.435599444444456,27.42019415576216,25.44863333333333,5.853244444444446,28.53601111111111,53.435599444444456
10101261774,2.2217391304347824,3.0782608695652183,1,3.8,vtshey,2.0,1.0,7.0,0,San Cristobal,21_22,1.2355666941434782,1.8374316312058896,6.634367306159749,77.96652111645075,5.36949347826087,42.43233859280088,1.1611043478260872,0.07132608695652175,5.2431086956521735,5.36949347826087
10101238352,2.5111111111111106,3.188888888888889,1,4.2,vtshey,1.0,1.0,1.0,5,San Cristobal,21_22,2.3954904901771568,2.4220930210399265,108.5765865777776,91.11162542966758,45.325409148148154,37.61689771541011,12.228603703703707,13.161722222222226,26.40051111111111,45.325409148148154
10101240225,1.2,1.9,1,4.1,vtshey,1.0,1.0,1.0,5,San Cristobal,21_22,1.6476492788697568,2.615068943456981,146.78392864580871,66.40896061971641,89.086877,25.394726508406052,35.1482,10.7762,55.5909,89.086877
