FLAG,BHID,FROM,TO,HOLE_TYP,DEPTH,VEIN,RE,RE_OLD,DRE,DDDRE,MINE,YEAR,PV,PV_OLD,PL,PL_OLD,EQ,EQ_OLD,ZN,PB,AG,EQ_DDH
,10101055094,0,1.2,1,4.3,vbx,4,4,22,8,San Cristobal,22_23,0.4269,0.681050669,1.796580902,13.10100289,4.208435,19.23645843,2.933,0.6928,0.7989,4.208435
,10101209730,2.5,2.9,1,3.6,vbx,1,2,2,1,San Cristobal,22_23,0.384339913,0.325381398,0.168264014,7.445964523,0.4378,22.88380519,0.2077,0.0647,0.2151,0.4378
,10101235085,2,3.7,1,5.2,vbx,2,3,9,2,San Cristobal,22_23,0.474297306,0.606107581,1.632043276,8.662210201,3.440971,14.29153912,0.8392,0.3774,2.8491,3.440971
,10101212798,0,1.8,1,4,vbx,2,3,9,2,San Cristobal,22_23,0.496001397,0.611766215,1.489074563,5.853002579,3.002158,9.567384459,0.5023,0.317,2.7912,3.002158
,DDH-U-SC-12-027,9.9,10.1,1,80.1,vbx,3,3,15,7,San Cristobal,22_23,0.602421817,0.593934,0.163298482,5.360927871,0.27107,9.026134,0.1,0.02,0.193,0.27107
,DDHUSC21128,49.05,50.4,1,81.15,vbx,1,1,1,5,San Cristobal,22_23,0.300800485,0.227245635,0.076472207,2.939398524,0.254229,12.93489544,0.0657,0.02,0.2151,0.254229
,DDHUSC22020,93.6,93.9,1,136.65,vbx,4,4,22,8,San Cristobal,22_23,0.746460489,1.34934431,0.150090811,5.522581737,0.20107,4.092789141,0.03,0.02,0.193,0.20107
,DDHUSC22024,74.75,75.2,1,315.5,vbx,4,-99,23,4,San Cristobal,22_23,0.36684918,0,0.089044935,0,0.242729,0,0.0542,0.02,0.2151,0.242729
,DDHUSC22017,55.6821425,55.975,1,300.3,vbx,4,-99,23,4,San Cristobal,22_23,0.437595472,0,0.087987322,0,0.20107,0,0.03,0.02,0.193,0.20107
,DDHUSC22146,189.4362915,190.2525975,1,391.9,vrb,3,3,15,7,San Cristobal,22_23,1.051743,1.051743,2.850655005,13.94215088,2.710410247,13.25623358,1.652104001,0.579075361,0.657931848,2.710410247
,DDHUSC22095,74.76093733,75.06104167,1,248.65,vrb,4,4,22,8,San Cristobal,22_23,0.457321,0.457321,0.091953533,0.414791334,0.20107,0.907002594,0.03,0.02,0.193,0.20107
,DDHUSC22100,60.6,60.9,1,180,vrb,3,3,15,7,San Cristobal,22_23,0.60802,0.60802,0.122254581,0.101381851,0.20107,0.16674098,0.03,0.02,0.193,0.20107
,DDHUSC22102,64.2,64.5,1,237,vrb,4,4,22,8,San Cristobal,22_23,0.574701116,0.574701116,0.115555153,0.466027319,0.20107,0.810903801,0.03,0.02,0.193,0.20107
,DDHUSC22133,52.78461533,52.98461533,1,172.9,vrb,3,3,15,7,San Cristobal,22_23,0.612751395,0.612751395,0.123205923,1.490721399,0.20107,2.43283232,0.03,0.02,0.193,0.20107
,DDHUSC22161,66.500882,66.8014705,1,402.3,vrb,4,4,22,8,San Cristobal,22_23,0.484481,0.484481,0.097414595,0.065598727,0.20107,0.1354,0.03,0.02,0.193,0.20107
,DDHUSC23024,77.385,77.6859095,1,167.15,vrb,4,4,22,8,San Cristobal,22_23,0.562392,0.562392,0.113080159,0.378603784,0.20107,0.673202648,0.03,0.02,0.193,0.20107
